,City,Country,Latitude,Temperature,Humidity,Cloudiness,Wind Speed,APICall
136,eucaliptus,BO,-17.6,57.2,67,75,8.05,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=eucaliptus,BO"
138,morondava,MG,-20.3,79.85,91,80,8.3,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=morondava,MG"
139,antalaha,MG,-14.9,78.41,87,8,16.24,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=antalaha,MG"
141,belmonte,BR,-26.84,82.19,82,12,3.83,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=belmonte,BR"
142,quatre cocos,MU,-20.21,78.8,94,90,12.75,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=quatre%20cocos,MU"
143,maceio,BR,-9.67,82.4,74,20,13.87,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=maceio,BR"
144,tiarei,PF,-17.53,84.2,66,75,13.87,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=tiarei,PF"
145,tipuani,BO,-15.56,69.23,90,92,2.26,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=tipuani,BO"
146,luganville,VU,-15.51,81.65,100,80,10.65,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=luganville,VU"
147,menongue,AO,-14.66,63.29,100,88,2.26,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=menongue,AO"
148,chapada dos guimaraes,BR,-15.46,89.6,55,40,5.82,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=chapada%20dos%20guimaraes,BR"
150,alyangula,AU,-13.85,83.36,100,0,9.19,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=alyangula,AU"
151,lubango,AO,-14.92,65.99,99,88,1.25,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=lubango,AO"
152,bambanglipuro,ID,-7.95,69.32,99,20,2.59,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=bambanglipuro,ID"
153,mkushi,ZM,-13.61,64.01,93,12,5.5,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=mkushi,ZM"
154,port keats,AU,-14.25,77.15,100,92,26.98,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=port%20keats,AU"
155,pemba,MZ,-12.97,81.38,100,48,8.63,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=pemba,MZ"
156,salima,MW,-13.78,65.45,95,0,5.95,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=salima,MW"
157,kabompo,ZM,-13.6,66.26,93,48,1.59,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=kabompo,ZM"
158,kansanshi,ZM,-12.1,62.93,100,100,4.16,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=kansanshi,ZM"
159,tapiramuta,BR,-11.85,75.8,86,32,3.6,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=tapiramuta,BR"
160,grand gaube,MU,-20.01,78.8,94,90,12.75,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=grand%20gaube,MU"
